,q_values,state,action
126,[[7.224754 7.722852 7.005583]],"[ 0.10612983 -0.15838781 -0.74392275 -0.88832769 -0.02105153  0.
  1.          0.        ]",[0. 1. 0.]
127,[[5.7223287 5.987438  4.0925326]],"[ 0.12762605 -0.13682013 -0.74392275 -0.90158185 -0.01720284  0.
  1.          0.        ]",[0. 1. 0.]
128,[[5.935844 6.234064 4.507069]],"[ 0.11597073 -0.05846839 -0.74392275 -0.93972878 -0.01889924  0.
  1.          0.        ]",[0. 1. 0.]
129,[[5.9434533 6.1548142 4.2910748]],"[ 0.16975302  0.06264759 -0.76835547 -0.84309907 -0.01000895  0.
  1.          0.        ]",[0. 1. 0.]
130,[[6.8494067 7.3050203 6.306908 ]],"[ 0.27011646  0.16929685 -0.71950715 -0.89881591  0.00782912  0.
  1.          0.        ]",[0. 1. 0.]
131,[[8.144664 8.840027 8.763046]],"[ 0.36252366  0.34144595 -0.11965352 -0.89878784  0.02645074  0.
  1.          0.        ]",[0. 1. 0.]
132,[[ 9.381137  9.826551 11.198736]],"[ 0.36115144  0.35580879 -0.11680833 -0.91155708  0.          1.
  0.          0.        ]",[0. 0. 1.]
133,[[7.7844887 8.769313  6.874406 ]],"[ 0.40169967  0.28060068 -0.55553493 -0.89483577  0.008409    0.
  1.          0.        ]",[0. 1. 0.]
134,[[8.912314 9.66828  9.934192]],"[ 0.40169967  0.24676492 -0.55553493 -0.90218799  0.          1.
  0.          0.        ]",[0. 0. 1.]
135,[[8.096945 9.371407 7.379698]],"[ 0.46918371  0.24555758 -0.30140359 -0.82303631  0.01398363  0.
  1.          0.        ]",[0. 1. 0.]
136,[[ 9.437308 10.204898 11.27146 ]],"[ 0.53176394  0.28749188  0.04961618 -0.86762561  0.          1.
  0.          0.        ]",[0. 0. 1.]
137,[[8.1218195 9.407597  7.148331 ]],"[ 0.46014433  0.20463404 -0.3217827  -0.89672567 -0.00660976  0.
  1.          0.        ]",[0. 1. 0.]
138,[[8.302057 8.880775 8.471863]],"[ 0.32892258  0.1246638  -0.3217827  -0.92734301 -0.01983297  0.
  1.          0.        ]",[0. 1. 0.]
139,[[6.8651524 7.2696767 5.619589 ]],"[-0.05966715 -0.10732485 -0.40034987 -0.83252089 -0.08043532  0.
  1.          0.        ]",[0. 1. 0.]
140,[[ 3.6630917  3.6969578 -0.7330733]],"[-0.24497113 -0.3800174   0.02402511 -0.84770067 -0.13290379  0.
  1.          0.        ]",[0. 1. 0.]
141,[[ 2.070129   2.5431771 -4.240045 ]],"[-0.25011747 -0.38496452  0.02402511 -0.81923866 -0.13468572  0.
  1.          0.        ]",[0. 1. 0.]
142,[[ 2.0300665  2.492443  -4.263587 ]],"[-0.03420595 -0.25881192 -0.36629173 -0.89746134 -0.08964967  0.
  1.          0.        ]",[0. 1. 0.]
143,[[ 3.3590758  3.5143094 -1.5831554]],"[-0.05717898 -0.21142927 -0.53929391 -0.87785159 -0.09573521  0.
  1.          0.        ]",[0. 1. 0.]
144,[[ 3.3340435  3.3795822 -1.6745605]],"[-0.17743498 -0.30253828 -0.08654262 -0.93858731 -0.13180999  0.
  1.          0.        ]",[0. 1. 0.]
145,[[ 2.3039422  2.6487153 -4.164024 ]],"[-0.12025852 -0.23382602 -0.08654262 -0.89927212 -0.11908756  0.
  1.          0.        ]",[0. 1. 0.]
146,[[ 2.584      2.8486323 -3.4966547]],"[ 0.00610565 -0.14473709 -0.43977922 -0.93585073 -0.08967489  0.
  1.          0.        ]",[0. 1. 0.]
147,[[ 3.5242102  3.5479875 -1.5195067]],"[ 0.0973152  -0.05213159 -0.8106103  -0.9034711  -0.0667446   0.
  1.          0.        ]",[0. 1. 0.]
148,[[4.4475555 4.412534  0.4891935]],"[ 0.18670499  0.03951007 -0.88533195 -0.96172099 -0.04276149  0.
  1.          0.        ]",[1. 0. 0.]
149,[[5.5798063 5.7275586 2.7296276]],"[ 3.27693533e-01  1.83398567e-01 -3.39079362e-01 -9.44891857e-01
  1.72670268e-04  0.00000000e+00  1.00000000e+00  0.00000000e+00]",[0. 1. 0.]
150,[[7.793278  8.352518  7.7788377]],"[ 0.13389458  0.15178774 -0.22916349 -0.85698426 -0.04327183  0.
  1.          0.        ]",[0. 1. 0.]
151,[[5.3015256 5.3945913 2.4788206]],"[ 0.11425362  0.07026894 -0.56432779 -0.92898406 -0.04838004  0.
  1.          0.        ]",[0. 1. 0.]
152,[[5.0635695 5.0314183 1.8546491]],"[ 0.05503125  0.07680341 -0.52506818 -0.94023156 -0.06405774  0.
  1.          0.        ]",[1. 0. 0.]
153,[[4.5348954  4.4311123  0.62865454]],"[ 0.18044776  0.12752741 -0.51970141 -0.90262761 -0.02686798  0.
  1.          0.        ]",[1. 0. 0.]
154,[[6.157295  6.35896   4.3517036]],"[ 0.15986672  0.11357318 -0.51970141 -0.96705571 -0.03174837  0.
  1.          0.        ]",[0. 1. 0.]
155,[[5.8129725 5.9087644 3.4477236]],"[ 0.17598972  0.12052952 -0.36036497 -0.93903714 -0.02713783  0.
  1.          0.        ]",[0. 1. 0.]
156,[[5.981363  6.1651487 3.9311206]],"[ 0.12566885  0.07894543 -0.57298514 -0.96734793 -0.03819015  0.
  1.          0.        ]",[0. 1. 0.]
157,[[5.4182734 5.429904  2.6188161]],"[ 0.13575125  0.07149811 -0.57298514 -0.93880489 -0.03562214  0.
  1.          0.        ]",[0. 1. 0.]
158,[[5.556355 5.615341 3.003419]],"[ 0.18993439  0.09662411 -0.57298514 -0.96623326 -0.02210033  0.
  1.          0.        ]",[0. 1. 0.]
159,[[6.2639623 6.467555  4.5065074]],"[ 0.24331538  0.20878898 -0.2422623  -0.94972251 -0.0085149   0.
  1.          0.        ]",[0. 1. 0.]
160,[[7.038261  7.449931  6.2115793]],"[ 0.25589597  0.28671651 -0.07983542 -0.83579535 -0.00535794  0.
  1.          0.        ]",[0. 1. 0.]
161,[[7.497751 7.744543 7.247967]],"[ 0.14438712  0.13172093 -0.75520106 -0.89589621 -0.02478083  0.
  1.          0.        ]",[0. 1. 0.]
162,[[6.2206025 6.4270988 4.5361714]],"[ 0.36666424  0.57870642  0.11476445 -0.49871752  0.03550399  0.
  1.          0.        ]",[0. 1. 0.]
163,[[11.110678 11.107105 15.057777]],"[ 0.4524019   0.47170462  0.11476445 -0.84379263  0.          1.
  0.          0.        ]",[0. 0. 1.]
164,[[8.165486 9.226938 7.056476]],"[ 0.45942407  0.35849972  0.17636348 -0.91685606  0.0026475   0.
  1.          0.        ]",[0. 1. 0.]
165,[[8.649622 8.652626 8.829714]],"[ 0.52496687  0.30740373  0.3111861  -0.81993158  0.          1.
  0.          0.        ]",[0. 0. 1.]
166,[[7.987034  9.07207   6.9900713]],"[ 0.59204211  0.30902719  0.45755074 -0.68778561  0.02954365  0.
  1.          0.        ]",[0. 1. 0.]
167,[[10.598981 10.771139 13.535918]],"[ 0.34364368  0.18547606 -0.20763174 -0.7103661   0.          1.
  0.          0.        ]",[0. 0. 1.]
